"","x"
"1","Ursus_maritimus"
"2","Ictidomys_tridecemlineatus"
"3","Macaca_nemestrina"
"4","Panthera_tigris_altaica"
"5","Marmota"
"6","Vombatus_ursinus"
"7","Mustela_putorius_furo"
"8","Colobus_angolensis_palliatus"
"9","Cercocebus_atys"
"10","Monodelphis_domestica"
"11","Oryctolagus_cuniculus"
"12","Nomascus_leucogenys"
"13","Sarcophilus_harrisii"
"14","Macaca_mulatta"
"15","Otolemur_garnettii"
"16","Equus_asinus_asinus"
"17","Chinchilla_lanigera"
"18","Pteropus_vampyrus"
"19","Mus_caroli"
"20","Sus_scrofa"
"21","Peromyscus_maniculatus_bairdii"
"22","Canis_familiaris"
"23","Cavia_porcellus"
"24","Ailuropoda_melanoleuca"
"25","Bos_taurus"
"26","Felis_catus"
"27","Dasypus_novemcinctus"
"28","Neovison_vison"
"29","Myotis_lucifugus"
"30","Microcebus_murinus"
"31","Phascolarctos_cinereus"
"32","Tursiops_truncatus"
"33","Vulpes_vulpes"
"34","Macaca_fascicularis"
"35","Carlito_syrichta"
"36","Dipodomys_ordii"
"37","Homo_sapiens"
"38","Bison_bison"
"39","Pan_troglodytes"
"40","Chlorocebus_sabaeus"
"41","Cebus_capucinus_imitator"
"42","Panthera_pardus"
"43","Microtus_ochrogaster"
"44","Jaculus_jaculus"
"45","Mus_musculus"
"46","Meriones_unguiculatus"
"47","Pongo_abelii"
"48","Mesocricetus_auratus"
"49","Loxodonta_africana"
"50","Gorilla_gorilla"
"51","Castor_canadensis"
"52","Rattus_norvegicus"
"53","Ursus_americanus"
"54","Capra_hircus"
"55","Equus_caballus"
"56","Ovis_aries"
"57","Pan_paniscus"
"58","Saimiri_boliviensis_boliviensis"
"59","Papio_anubis"
"60","Callithrix_jacchus"
"61","Octodon_degus"
