"","x"
"1","Panthera_tigris_altaica"
"2","Mustela_putorius_furo"
"3","Pongo_abelii"
"4","Gorilla_gorilla"
"5","Neovison_vison"
"6","Mus_caroli"
"7","Octodon_degus"
"8","Rattus_norvegicus"
"9","Ovis_aries"
"10","Carlito_syrichta"
"11","Chinchilla_lanigera"
"12","Loxodonta_africana"
"13","Vulpes_vulpes"
"14","Nomascus_leucogenys"
"15","Callithrix_jacchus"
"16","Macaca_fascicularis"
"17","Chlorocebus_sabaeus"
"18","Papio_anubis"
"19","Monodelphis_domestica"
"20","Ictidomys_tridecemlineatus"
"21","Microcebus_murinus"
"22","Microtus_ochrogaster"
"23","Canis_familiaris"
"24","Oryctolagus_cuniculus"
"25","Jaculus_jaculus"
"26","Dasypus_novemcinctus"
"27","Macaca_nemestrina"
"28","Ursus_maritimus"
"29","Felis_catus"
"30","Saimiri_boliviensis_boliviensis"
"31","Pteropus_vampyrus"
"32","Vombatus_ursinus"
"33","Phascolarctos_cinereus"
"34","Colobus_angolensis_palliatus"
"35","Peromyscus_maniculatus_bairdii"
"36","Cebus_capucinus_imitator"
"37","Cercocebus_atys"
"38","Pan_troglodytes"
"39","Marmota"
"40","Capra_hircus"
"41","Dipodomys_ordii"
"42","Equus_caballus"
"43","Sarcophilus_harrisii"
"44","Equus_asinus_asinus"
"45","Meriones_unguiculatus"
"46","Macaca_mulatta"
"47","Otolemur_garnettii"
"48","Myotis_lucifugus"
"49","Castor_canadensis"
"50","Pan_paniscus"
