"","x"
"1","Ovis_aries"
"2","Bison_bison"
"3","Ursus_americanus"
"4","Octodon_degus"
"5","Colobus_angolensis_palliatus"
"6","Sarcophilus_harrisii"
"7","Phascolarctos_cinereus"
"8","Capra_hircus"
"9","Sus_scrofa"
"10","Pongo_abelii"
"11","Pan_troglodytes"
"12","Ictidomys_tridecemlineatus"
"13","Peromyscus_maniculatus_bairdii"
"14","Mus_musculus"
"15","Bos_taurus"
"16","Equus_asinus_asinus"
"17","Macaca_mulatta"
"18","Panthera_pardus"
"19","Meriones_unguiculatus"
"20","Felis_catus"
"21","Neovison_vison"
"22","Dipodomys_ordii"
"23","Macaca_nemestrina"
"24","Otolemur_garnettii"
"25","Chlorocebus_sabaeus"
"26","Macaca_fascicularis"
"27","Ailuropoda_melanoleuca"
"28","Marmota"
"29","Tursiops_truncatus"
"30","Dasypus_novemcinctus"
"31","Saimiri_boliviensis_boliviensis"
"32","Loxodonta_africana"
"33","Mesocricetus_auratus"
"34","Callithrix_jacchus"
"35","Nomascus_leucogenys"
"36","Microtus_ochrogaster"
"37","Microcebus_murinus"
"38","Jaculus_jaculus"
"39","Pan_paniscus"
"40","Papio_anubis"
"41","Mus_caroli"
"42","Cercocebus_atys"
"43","Ursus_maritimus"
"44","Oryctolagus_cuniculus"
"45","Panthera_tigris_altaica"
"46","Cebus_capucinus_imitator"
"47","Vombatus_ursinus"
"48","Homo_sapiens"
"49","Chinchilla_lanigera"
"50","Cavia_porcellus"
