"","x"
"1","Papio_anubis"
"2","Castor_canadensis"
"3","Vombatus_ursinus"
"4","Dasypus_novemcinctus"
"5","Jaculus_jaculus"
"6","Sus_scrofa"
"7","Felis_catus"
"8","Mus_musculus"
"9","Bos_taurus"
"10","Macaca_fascicularis"
"11","Rattus_norvegicus"
"12","Gorilla_gorilla"
"13","Dipodomys_ordii"
"14","Mus_caroli"
"15","Carlito_syrichta"
"16","Tursiops_truncatus"
"17","Pan_troglodytes"
"18","Sarcophilus_harrisii"
"19","Macaca_mulatta"
"20","Otolemur_garnettii"
"21","Cebus_capucinus_imitator"
"22","Capra_hircus"
"23","Pteropus_vampyrus"
"24","Pan_paniscus"
"25","Ursus_maritimus"
"26","Mustela_putorius_furo"
"27","Colobus_angolensis_palliatus"
"28","Ovis_aries"
"29","Marmota"
"30","Nomascus_leucogenys"
"31","Peromyscus_maniculatus_bairdii"
"32","Oryctolagus_cuniculus"
"33","Octodon_degus"
"34","Microtus_ochrogaster"
"35","Cercocebus_atys"
"36","Equus_caballus"
"37","Bison_bison"
"38","Panthera_tigris_altaica"
"39","Chinchilla_lanigera"
"40","Chlorocebus_sabaeus"
"41","Vulpes_vulpes"
"42","Mesocricetus_auratus"
"43","Myotis_lucifugus"
"44","Canis_familiaris"
"45","Monodelphis_domestica"
"46","Microcebus_murinus"
"47","Ailuropoda_melanoleuca"
"48","Loxodonta_africana"
"49","Equus_asinus_asinus"
"50","Pongo_abelii"
