"","x"
"1","Capra_hircus"
"2","Peromyscus_maniculatus_bairdii"
"3","Dipodomys_ordii"
"4","Nomascus_leucogenys"
"5","Ictidomys_tridecemlineatus"
"6","Cercocebus_atys"
"7","Macaca_mulatta"
"8","Phascolarctos_cinereus"
"9","Sus_scrofa"
"10","Pteropus_vampyrus"
"11","Macaca_nemestrina"
"12","Canis_familiaris"
"13","Microcebus_murinus"
"14","Homo_sapiens"
"15","Mus_caroli"
"16","Myotis_lucifugus"
"17","Oryctolagus_cuniculus"
"18","Mustela_putorius_furo"
"19","Macaca_fascicularis"
"20","Colobus_angolensis_palliatus"
"21","Jaculus_jaculus"
"22","Sarcophilus_harrisii"
"23","Callithrix_jacchus"
"24","Octodon_degus"
"25","Bos_taurus"
"26","Mesocricetus_auratus"
"27","Ovis_aries"
"28","Carlito_syrichta"
"29","Pan_troglodytes"
"30","Saimiri_boliviensis_boliviensis"
"31","Chlorocebus_sabaeus"
"32","Bison_bison"
"33","Vulpes_vulpes"
"34","Equus_asinus_asinus"
"35","Felis_catus"
"36","Otolemur_garnettii"
"37","Dasypus_novemcinctus"
"38","Ailuropoda_melanoleuca"
"39","Gorilla_gorilla"
"40","Panthera_pardus"
"41","Cebus_capucinus_imitator"
"42","Rattus_norvegicus"
"43","Tursiops_truncatus"
"44","Pan_paniscus"
"45","Cavia_porcellus"
"46","Papio_anubis"
"47","Ursus_maritimus"
"48","Meriones_unguiculatus"
"49","Monodelphis_domestica"
"50","Ursus_americanus"
