"","x"
"1","Sus_scrofa"
"2","Pan_troglodytes"
"3","Phascolarctos_cinereus"
"4","Canis_familiaris"
"5","Ursus_maritimus"
"6","Pteropus_vampyrus"
"7","Oryctolagus_cuniculus"
"8","Panthera_pardus"
"9","Microtus_ochrogaster"
"10","Mus_caroli"
"11","Ailuropoda_melanoleuca"
"12","Mesocricetus_auratus"
"13","Monodelphis_domestica"
"14","Ursus_americanus"
"15","Myotis_lucifugus"
"16","Pongo_abelii"
"17","Saimiri_boliviensis_boliviensis"
"18","Macaca_nemestrina"
"19","Octodon_degus"
"20","Peromyscus_maniculatus_bairdii"
"21","Nomascus_leucogenys"
"22","Panthera_tigris_altaica"
"23","Callithrix_jacchus"
"24","Jaculus_jaculus"
"25","Bos_taurus"
"26","Tursiops_truncatus"
"27","Chinchilla_lanigera"
"28","Macaca_mulatta"
"29","Microcebus_murinus"
"30","Capra_hircus"
"31","Cercocebus_atys"
"32","Macaca_fascicularis"
"33","Vulpes_vulpes"
"34","Neovison_vison"
"35","Homo_sapiens"
"36","Mustela_putorius_furo"
"37","Bison_bison"
"38","Cebus_capucinus_imitator"
"39","Felis_catus"
"40","Marmota"
"41","Papio_anubis"
"42","Vombatus_ursinus"
"43","Cavia_porcellus"
"44","Colobus_angolensis_palliatus"
"45","Pan_paniscus"
"46","Loxodonta_africana"
"47","Rattus_norvegicus"
"48","Mus_musculus"
"49","Ovis_aries"
"50","Carlito_syrichta"
