"","x"
"1","Macaca_fascicularis"
"2","Papio_anubis"
"3","Bos_taurus"
"4","Colobus_angolensis_palliatus"
"5","Dasypus_novemcinctus"
"6","Mus_caroli"
"7","Macaca_nemestrina"
"8","Carlito_syrichta"
"9","Cavia_porcellus"
"10","Saimiri_boliviensis_boliviensis"
"11","Cebus_capucinus_imitator"
"12","Capra_hircus"
"13","Equus_caballus"
"14","Pan_paniscus"
"15","Oryctolagus_cuniculus"
"16","Microtus_ochrogaster"
"17","Sarcophilus_harrisii"
"18","Tursiops_truncatus"
"19","Ovis_aries"
"20","Neovison_vison"
"21","Ailuropoda_melanoleuca"
"22","Loxodonta_africana"
"23","Mus_musculus"
"24","Octodon_degus"
"25","Panthera_pardus"
"26","Ursus_americanus"
"27","Cercocebus_atys"
"28","Gorilla_gorilla"
"29","Jaculus_jaculus"
"30","Chlorocebus_sabaeus"
"31","Rattus_norvegicus"
"32","Ictidomys_tridecemlineatus"
"33","Nomascus_leucogenys"
"34","Myotis_lucifugus"
"35","Peromyscus_maniculatus_bairdii"
"36","Canis_familiaris"
"37","Meriones_unguiculatus"
"38","Phascolarctos_cinereus"
"39","Otolemur_garnettii"
"40","Mesocricetus_auratus"
"41","Marmota"
"42","Chinchilla_lanigera"
"43","Callithrix_jacchus"
"44","Mustela_putorius_furo"
"45","Vombatus_ursinus"
"46","Microcebus_murinus"
"47","Vulpes_vulpes"
"48","Sus_scrofa"
"49","Homo_sapiens"
"50","Macaca_mulatta"
