"","x"
"1","Felis_catus"
"2","Sarcophilus_harrisii"
"3","Panthera_tigris_altaica"
"4","Neovison_vison"
"5","Pan_troglodytes"
"6","Microcebus_murinus"
"7","Mustela_putorius_furo"
"8","Cebus_capucinus_imitator"
"9","Colobus_angolensis_palliatus"
"10","Tursiops_truncatus"
"11","Saimiri_boliviensis_boliviensis"
"12","Bos_taurus"
"13","Callithrix_jacchus"
"14","Loxodonta_africana"
"15","Ictidomys_tridecemlineatus"
"16","Bison_bison"
"17","Pongo_abelii"
"18","Macaca_nemestrina"
"19","Chlorocebus_sabaeus"
"20","Mus_caroli"
"21","Cercocebus_atys"
"22","Pan_paniscus"
"23","Papio_anubis"
"24","Carlito_syrichta"
"25","Equus_asinus_asinus"
"26","Cavia_porcellus"
"27","Panthera_pardus"
"28","Castor_canadensis"
"29","Mus_musculus"
"30","Gorilla_gorilla"
"31","Mesocricetus_auratus"
"32","Phascolarctos_cinereus"
"33","Octodon_degus"
"34","Nomascus_leucogenys"
"35","Myotis_lucifugus"
"36","Ursus_maritimus"
"37","Pteropus_vampyrus"
"38","Jaculus_jaculus"
"39","Macaca_mulatta"
"40","Capra_hircus"
"41","Microtus_ochrogaster"
"42","Sus_scrofa"
"43","Canis_familiaris"
"44","Chinchilla_lanigera"
"45","Marmota"
"46","Peromyscus_maniculatus_bairdii"
"47","Ailuropoda_melanoleuca"
"48","Oryctolagus_cuniculus"
"49","Vulpes_vulpes"
"50","Rattus_norvegicus"
