"","x"
"1","Sus_scrofa"
"2","Homo_sapiens"
"3","Panthera_tigris_altaica"
"4","Colobus_angolensis_palliatus"
"5","Ursus_maritimus"
"6","Nomascus_leucogenys"
"7","Mustela_putorius_furo"
"8","Panthera_pardus"
"9","Oryctolagus_cuniculus"
"10","Macaca_nemestrina"
"11","Phascolarctos_cinereus"
"12","Mus_caroli"
"13","Canis_familiaris"
"14","Pongo_abelii"
"15","Meriones_unguiculatus"
"16","Jaculus_jaculus"
"17","Bison_bison"
"18","Macaca_fascicularis"
"19","Dasypus_novemcinctus"
"20","Ailuropoda_melanoleuca"
"21","Rattus_norvegicus"
"22","Saimiri_boliviensis_boliviensis"
"23","Bos_taurus"
"24","Papio_anubis"
"25","Microtus_ochrogaster"
"26","Pan_troglodytes"
"27","Otolemur_garnettii"
"28","Neovison_vison"
"29","Carlito_syrichta"
"30","Dipodomys_ordii"
"31","Myotis_lucifugus"
"32","Cebus_capucinus_imitator"
"33","Tursiops_truncatus"
"34","Cavia_porcellus"
"35","Marmota"
"36","Sarcophilus_harrisii"
"37","Castor_canadensis"
"38","Ursus_americanus"
"39","Macaca_mulatta"
"40","Ovis_aries"
"41","Pteropus_vampyrus"
"42","Vombatus_ursinus"
"43","Equus_asinus_asinus"
"44","Cercocebus_atys"
"45","Felis_catus"
"46","Loxodonta_africana"
"47","Peromyscus_maniculatus_bairdii"
"48","Equus_caballus"
"49","Chlorocebus_sabaeus"
"50","Chinchilla_lanigera"
