"","x"
"1","Gorilla_gorilla"
"2","Octodon_degus"
"3","Sus_scrofa"
"4","Pan_paniscus"
"5","Pteropus_vampyrus"
"6","Ursus_americanus"
"7","Meriones_unguiculatus"
"8","Microcebus_murinus"
"9","Saimiri_boliviensis_boliviensis"
"10","Mesocricetus_auratus"
"11","Cebus_capucinus_imitator"
"12","Oryctolagus_cuniculus"
"13","Jaculus_jaculus"
"14","Peromyscus_maniculatus_bairdii"
"15","Phascolarctos_cinereus"
"16","Ailuropoda_melanoleuca"
"17","Neovison_vison"
"18","Cercocebus_atys"
"19","Nomascus_leucogenys"
"20","Panthera_tigris_altaica"
"21","Equus_caballus"
"22","Pan_troglodytes"
"23","Homo_sapiens"
"24","Canis_familiaris"
"25","Tursiops_truncatus"
"26","Bos_taurus"
"27","Loxodonta_africana"
"28","Macaca_mulatta"
"29","Microtus_ochrogaster"
"30","Equus_asinus_asinus"
"31","Ovis_aries"
"32","Macaca_nemestrina"
"33","Dipodomys_ordii"
"34","Vulpes_vulpes"
"35","Capra_hircus"
"36","Panthera_pardus"
"37","Mus_musculus"
"38","Vombatus_ursinus"
"39","Mustela_putorius_furo"
"40","Callithrix_jacchus"
"41","Bison_bison"
"42","Castor_canadensis"
"43","Monodelphis_domestica"
"44","Papio_anubis"
"45","Dasypus_novemcinctus"
"46","Otolemur_garnettii"
"47","Pongo_abelii"
"48","Macaca_fascicularis"
"49","Marmota"
"50","Chlorocebus_sabaeus"
