"","x"
"1","Equus_asinus_asinus"
"2","Loxodonta_africana"
"3","Bison_bison"
"4","Pan_paniscus"
"5","Felis_catus"
"6","Vulpes_vulpes"
"7","Panthera_pardus"
"8","Jaculus_jaculus"
"9","Chinchilla_lanigera"
"10","Neovison_vison"
"11","Sarcophilus_harrisii"
"12","Gorilla_gorilla"
"13","Mustela_putorius_furo"
"14","Homo_sapiens"
"15","Microcebus_murinus"
"16","Peromyscus_maniculatus_bairdii"
"17","Papio_anubis"
"18","Pteropus_vampyrus"
"19","Pongo_abelii"
"20","Bos_taurus"
"21","Cavia_porcellus"
"22","Microtus_ochrogaster"
"23","Octodon_degus"
"24","Ovis_aries"
"25","Vombatus_ursinus"
"26","Ursus_americanus"
"27","Mus_caroli"
"28","Cercocebus_atys"
"29","Dasypus_novemcinctus"
"30","Marmota"
"31","Chlorocebus_sabaeus"
"32","Ictidomys_tridecemlineatus"
"33","Saimiri_boliviensis_boliviensis"
"34","Meriones_unguiculatus"
"35","Nomascus_leucogenys"
"36","Phascolarctos_cinereus"
"37","Otolemur_garnettii"
"38","Mesocricetus_auratus"
"39","Sus_scrofa"
"40","Ailuropoda_melanoleuca"
"41","Monodelphis_domestica"
"42","Colobus_angolensis_palliatus"
"43","Dipodomys_ordii"
"44","Capra_hircus"
"45","Panthera_tigris_altaica"
"46","Equus_caballus"
"47","Rattus_norvegicus"
"48","Castor_canadensis"
"49","Tursiops_truncatus"
"50","Myotis_lucifugus"
