"","x"
"1","Macaca_nemestrina"
"2","Homo_sapiens"
"3","Vombatus_ursinus"
"4","Felis_catus"
"5","Octodon_degus"
"6","Colobus_angolensis_palliatus"
"7","Vulpes_vulpes"
"8","Gorilla_gorilla"
"9","Equus_caballus"
"10","Pongo_abelii"
"11","Sarcophilus_harrisii"
"12","Macaca_mulatta"
"13","Papio_anubis"
"14","Loxodonta_africana"
"15","Dasypus_novemcinctus"
"16","Cercocebus_atys"
"17","Chinchilla_lanigera"
"18","Cavia_porcellus"
"19","Rattus_norvegicus"
"20","Macaca_fascicularis"
"21","Castor_canadensis"
"22","Mus_caroli"
"23","Monodelphis_domestica"
"24","Saimiri_boliviensis_boliviensis"
"25","Myotis_lucifugus"
"26","Nomascus_leucogenys"
"27","Meriones_unguiculatus"
"28","Phascolarctos_cinereus"
"29","Oryctolagus_cuniculus"
"30","Jaculus_jaculus"
"31","Callithrix_jacchus"
"32","Canis_familiaris"
"33","Panthera_pardus"
"34","Marmota"
"35","Sus_scrofa"
"36","Tursiops_truncatus"
"37","Microcebus_murinus"
"38","Mustela_putorius_furo"
"39","Neovison_vison"
"40","Bison_bison"
"41","Mesocricetus_auratus"
"42","Ovis_aries"
"43","Ursus_maritimus"
"44","Ailuropoda_melanoleuca"
"45","Microtus_ochrogaster"
"46","Dipodomys_ordii"
"47","Mus_musculus"
"48","Carlito_syrichta"
"49","Peromyscus_maniculatus_bairdii"
"50","Pan_troglodytes"
