"","x"
"1","Equus_asinus_asinus"
"2","Ailuropoda_melanoleuca"
"3","Equus_caballus"
"4","Microtus_ochrogaster"
"5","Carlito_syrichta"
"6","Rattus_norvegicus"
"7","Bison_bison"
"8","Saimiri_boliviensis_boliviensis"
"9","Colobus_angolensis_palliatus"
"10","Ursus_americanus"
"11","Panthera_pardus"
"12","Neovison_vison"
"13","Homo_sapiens"
"14","Phascolarctos_cinereus"
"15","Canis_familiaris"
"16","Pteropus_vampyrus"
"17","Papio_anubis"
"18","Oryctolagus_cuniculus"
"19","Pan_troglodytes"
"20","Cebus_capucinus_imitator"
"21","Ovis_aries"
"22","Peromyscus_maniculatus_bairdii"
"23","Callithrix_jacchus"
"24","Capra_hircus"
"25","Meriones_unguiculatus"
"26","Mesocricetus_auratus"
"27","Cavia_porcellus"
"28","Felis_catus"
"29","Microcebus_murinus"
"30","Mustela_putorius_furo"
"31","Chlorocebus_sabaeus"
"32","Marmota"
"33","Ictidomys_tridecemlineatus"
"34","Monodelphis_domestica"
"35","Jaculus_jaculus"
"36","Gorilla_gorilla"
"37","Vombatus_ursinus"
"38","Dipodomys_ordii"
"39","Pan_paniscus"
"40","Tursiops_truncatus"
"41","Octodon_degus"
"42","Castor_canadensis"
"43","Otolemur_garnettii"
"44","Loxodonta_africana"
"45","Bos_taurus"
"46","Chinchilla_lanigera"
"47","Panthera_tigris_altaica"
"48","Ursus_maritimus"
"49","Cercocebus_atys"
"50","Vulpes_vulpes"
