"","x"
"1","Pteropus_vampyrus"
"2","Pan_paniscus"
"3","Nomascus_leucogenys"
"4","Felis_catus"
"5","Marmota"
"6","Papio_anubis"
"7","Cebus_capucinus_imitator"
"8","Homo_sapiens"
"9","Equus_caballus"
"10","Microcebus_murinus"
"11","Macaca_fascicularis"
"12","Callithrix_jacchus"
"13","Bos_taurus"
"14","Ursus_americanus"
"15","Gorilla_gorilla"
"16","Pan_troglodytes"
"17","Canis_familiaris"
"18","Chinchilla_lanigera"
"19","Macaca_mulatta"
"20","Jaculus_jaculus"
"21","Octodon_degus"
"22","Microtus_ochrogaster"
"23","Sarcophilus_harrisii"
"24","Capra_hircus"
"25","Oryctolagus_cuniculus"
"26","Mus_caroli"
"27","Carlito_syrichta"
"28","Dasypus_novemcinctus"
"29","Macaca_nemestrina"
"30","Vulpes_vulpes"
"31","Dipodomys_ordii"
"32","Rattus_norvegicus"
"33","Ovis_aries"
"34","Saimiri_boliviensis_boliviensis"
"35","Tursiops_truncatus"
"36","Mesocricetus_auratus"
"37","Myotis_lucifugus"
"38","Ursus_maritimus"
"39","Cavia_porcellus"
"40","Meriones_unguiculatus"
"41","Chlorocebus_sabaeus"
"42","Castor_canadensis"
"43","Pongo_abelii"
"44","Cercocebus_atys"
"45","Otolemur_garnettii"
"46","Peromyscus_maniculatus_bairdii"
"47","Colobus_angolensis_palliatus"
"48","Ictidomys_tridecemlineatus"
"49","Equus_asinus_asinus"
"50","Loxodonta_africana"
