"","x"
"1","Myotis_lucifugus"
"2","Ursus_maritimus"
"3","Microtus_ochrogaster"
"4","Macaca_fascicularis"
"5","Chinchilla_lanigera"
"6","Mus_caroli"
"7","Phascolarctos_cinereus"
"8","Carlito_syrichta"
"9","Macaca_nemestrina"
"10","Octodon_degus"
"11","Sarcophilus_harrisii"
"12","Monodelphis_domestica"
"13","Jaculus_jaculus"
"14","Peromyscus_maniculatus_bairdii"
"15","Pongo_abelii"
"16","Marmota"
"17","Canis_familiaris"
"18","Ailuropoda_melanoleuca"
"19","Cavia_porcellus"
"20","Mus_musculus"
"21","Neovison_vison"
"22","Cebus_capucinus_imitator"
"23","Mustela_putorius_furo"
"24","Castor_canadensis"
"25","Gorilla_gorilla"
"26","Dipodomys_ordii"
"27","Pan_paniscus"
"28","Equus_asinus_asinus"
"29","Ovis_aries"
"30","Panthera_tigris_altaica"
"31","Tursiops_truncatus"
"32","Cercocebus_atys"
"33","Vulpes_vulpes"
"34","Colobus_angolensis_palliatus"
"35","Mesocricetus_auratus"
"36","Panthera_pardus"
"37","Microcebus_murinus"
"38","Bison_bison"
"39","Ursus_americanus"
"40","Otolemur_garnettii"
"41","Pan_troglodytes"
"42","Chlorocebus_sabaeus"
"43","Rattus_norvegicus"
"44","Meriones_unguiculatus"
"45","Felis_catus"
"46","Equus_caballus"
"47","Pteropus_vampyrus"
"48","Ictidomys_tridecemlineatus"
"49","Dasypus_novemcinctus"
"50","Bos_taurus"
