"","x"
"1","Tursiops_truncatus"
"2","Colobus_angolensis_palliatus"
"3","Ictidomys_tridecemlineatus"
"4","Ursus_maritimus"
"5","Saimiri_boliviensis_boliviensis"
"6","Jaculus_jaculus"
"7","Macaca_fascicularis"
"8","Ovis_aries"
"9","Loxodonta_africana"
"10","Mus_caroli"
"11","Equus_asinus_asinus"
"12","Panthera_tigris_altaica"
"13","Ailuropoda_melanoleuca"
"14","Sus_scrofa"
"15","Cavia_porcellus"
"16","Monodelphis_domestica"
"17","Castor_canadensis"
"18","Pteropus_vampyrus"
"19","Marmota"
"20","Ursus_americanus"
"21","Meriones_unguiculatus"
"22","Neovison_vison"
"23","Pongo_abelii"
"24","Bos_taurus"
"25","Macaca_nemestrina"
"26","Dipodomys_ordii"
"27","Panthera_pardus"
"28","Papio_anubis"
"29","Phascolarctos_cinereus"
"30","Nomascus_leucogenys"
"31","Vombatus_ursinus"
"32","Otolemur_garnettii"
"33","Octodon_degus"
"34","Mesocricetus_auratus"
"35","Microcebus_murinus"
"36","Pan_paniscus"
"37","Sarcophilus_harrisii"
"38","Microtus_ochrogaster"
"39","Mustela_putorius_furo"
"40","Callithrix_jacchus"
"41","Canis_familiaris"
"42","Homo_sapiens"
"43","Peromyscus_maniculatus_bairdii"
"44","Cercocebus_atys"
"45","Macaca_mulatta"
"46","Equus_caballus"
"47","Oryctolagus_cuniculus"
"48","Chinchilla_lanigera"
"49","Vulpes_vulpes"
"50","Myotis_lucifugus"
