"","x"
"1","Ailuropoda_melanoleuca"
"2","Colobus_angolensis_palliatus"
"3","Loxodonta_africana"
"4","Mus_caroli"
"5","Vombatus_ursinus"
"6","Felis_catus"
"7","Cercocebus_atys"
"8","Nomascus_leucogenys"
"9","Monodelphis_domestica"
"10","Equus_caballus"
"11","Ursus_americanus"
"12","Pan_troglodytes"
"13","Pongo_abelii"
"14","Macaca_mulatta"
"15","Otolemur_garnettii"
"16","Myotis_lucifugus"
"17","Macaca_nemestrina"
"18","Jaculus_jaculus"
"19","Bison_bison"
"20","Canis_familiaris"
"21","Ictidomys_tridecemlineatus"
"22","Chinchilla_lanigera"
"23","Neovison_vison"
"24","Peromyscus_maniculatus_bairdii"
"25","Mustela_putorius_furo"
"26","Sarcophilus_harrisii"
"27","Castor_canadensis"
"28","Homo_sapiens"
"29","Saimiri_boliviensis_boliviensis"
"30","Ursus_maritimus"
"31","Rattus_norvegicus"
"32","Bos_taurus"
"33","Phascolarctos_cinereus"
"34","Dasypus_novemcinctus"
"35","Pan_paniscus"
"36","Cavia_porcellus"
"37","Mus_musculus"
"38","Meriones_unguiculatus"
"39","Equus_asinus_asinus"
"40","Papio_anubis"
"41","Sus_scrofa"
"42","Vulpes_vulpes"
"43","Gorilla_gorilla"
"44","Panthera_pardus"
"45","Pteropus_vampyrus"
"46","Microtus_ochrogaster"
"47","Panthera_tigris_altaica"
"48","Mesocricetus_auratus"
"49","Cebus_capucinus_imitator"
"50","Dipodomys_ordii"
