"","x"
"1","Peromyscus_maniculatus_bairdii"
"2","Equus_caballus"
"3","Capra_hircus"
"4","Dipodomys_ordii"
"5","Cercocebus_atys"
"6","Myotis_lucifugus"
"7","Macaca_mulatta"
"8","Macaca_nemestrina"
"9","Ursus_americanus"
"10","Ursus_maritimus"
"11","Papio_anubis"
"12","Vulpes_vulpes"
"13","Felis_catus"
"14","Octodon_degus"
"15","Pan_paniscus"
"16","Phascolarctos_cinereus"
"17","Colobus_angolensis_palliatus"
"18","Callithrix_jacchus"
"19","Monodelphis_domestica"
"20","Ailuropoda_melanoleuca"
"21","Bison_bison"
"22","Meriones_unguiculatus"
"23","Pongo_abelii"
"24","Canis_familiaris"
"25","Pan_troglodytes"
"26","Dasypus_novemcinctus"
"27","Ovis_aries"
"28","Microtus_ochrogaster"
"29","Chlorocebus_sabaeus"
"30","Macaca_fascicularis"
"31","Cebus_capucinus_imitator"
"32","Tursiops_truncatus"
"33","Saimiri_boliviensis_boliviensis"
"34","Panthera_pardus"
"35","Sus_scrofa"
"36","Bos_taurus"
"37","Mus_caroli"
"38","Jaculus_jaculus"
"39","Panthera_tigris_altaica"
"40","Oryctolagus_cuniculus"
"41","Nomascus_leucogenys"
"42","Castor_canadensis"
"43","Vombatus_ursinus"
"44","Neovison_vison"
"45","Rattus_norvegicus"
"46","Gorilla_gorilla"
"47","Microcebus_murinus"
"48","Mesocricetus_auratus"
"49","Equus_asinus_asinus"
"50","Marmota"
