"","x"
"1","Castor_canadensis"
"2","Sus_scrofa"
"3","Tursiops_truncatus"
"4","Panthera_tigris_altaica"
"5","Pongo_abelii"
"6","Callithrix_jacchus"
"7","Macaca_nemestrina"
"8","Mustela_putorius_furo"
"9","Vulpes_vulpes"
"10","Bos_taurus"
"11","Jaculus_jaculus"
"12","Vombatus_ursinus"
"13","Myotis_lucifugus"
"14","Marmota"
"15","Capra_hircus"
"16","Peromyscus_maniculatus_bairdii"
"17","Meriones_unguiculatus"
"18","Loxodonta_africana"
"19","Dipodomys_ordii"
"20","Otolemur_garnettii"
"21","Cercocebus_atys"
"22","Mus_musculus"
"23","Neovison_vison"
"24","Mus_caroli"
"25","Canis_familiaris"
"26","Chinchilla_lanigera"
"27","Pan_troglodytes"
"28","Mesocricetus_auratus"
"29","Saimiri_boliviensis_boliviensis"
"30","Octodon_degus"
"31","Carlito_syrichta"
"32","Rattus_norvegicus"
"33","Phascolarctos_cinereus"
"34","Dasypus_novemcinctus"
"35","Oryctolagus_cuniculus"
"36","Macaca_fascicularis"
"37","Sarcophilus_harrisii"
"38","Felis_catus"
"39","Gorilla_gorilla"
"40","Papio_anubis"
"41","Pan_paniscus"
"42","Ursus_americanus"
"43","Microtus_ochrogaster"
"44","Ursus_maritimus"
"45","Colobus_angolensis_palliatus"
"46","Ictidomys_tridecemlineatus"
"47","Ovis_aries"
"48","Equus_caballus"
"49","Microcebus_murinus"
"50","Bison_bison"
