"","x"
"1","Macaca_mulatta"
"2","Pan_paniscus"
"3","Pan_troglodytes"
"4","Peromyscus_maniculatus_bairdii"
"5","Loxodonta_africana"
"6","Panthera_tigris_altaica"
"7","Sarcophilus_harrisii"
"8","Vombatus_ursinus"
"9","Homo_sapiens"
"10","Phascolarctos_cinereus"
"11","Ictidomys_tridecemlineatus"
"12","Chlorocebus_sabaeus"
"13","Bos_taurus"
"14","Microtus_ochrogaster"
"15","Macaca_fascicularis"
"16","Callithrix_jacchus"
"17","Saimiri_boliviensis_boliviensis"
"18","Meriones_unguiculatus"
"19","Nomascus_leucogenys"
"20","Rattus_norvegicus"
"21","Equus_caballus"
"22","Ovis_aries"
"23","Panthera_pardus"
"24","Capra_hircus"
"25","Equus_asinus_asinus"
"26","Mus_musculus"
"27","Sus_scrofa"
"28","Canis_familiaris"
"29","Jaculus_jaculus"
"30","Neovison_vison"
"31","Cebus_capucinus_imitator"
"32","Mesocricetus_auratus"
"33","Dasypus_novemcinctus"
"34","Tursiops_truncatus"
"35","Colobus_angolensis_palliatus"
"36","Monodelphis_domestica"
"37","Castor_canadensis"
"38","Mustela_putorius_furo"
"39","Vulpes_vulpes"
"40","Gorilla_gorilla"
"41","Marmota"
"42","Cercocebus_atys"
"43","Papio_anubis"
"44","Ailuropoda_melanoleuca"
"45","Oryctolagus_cuniculus"
"46","Carlito_syrichta"
"47","Bison_bison"
"48","Otolemur_garnettii"
"49","Pongo_abelii"
"50","Felis_catus"
