"","x"
"1","Gorilla_gorilla"
"2","Felis_catus"
"3","Homo_sapiens"
"4","Microcebus_murinus"
"5","Ursus_americanus"
"6","Mesocricetus_auratus"
"7","Meriones_unguiculatus"
"8","Macaca_mulatta"
"9","Otolemur_garnettii"
"10","Peromyscus_maniculatus_bairdii"
"11","Tursiops_truncatus"
"12","Papio_anubis"
"13","Saimiri_boliviensis_boliviensis"
"14","Ovis_aries"
"15","Cebus_capucinus_imitator"
"16","Colobus_angolensis_palliatus"
"17","Monodelphis_domestica"
"18","Marmota"
"19","Pongo_abelii"
"20","Vombatus_ursinus"
"21","Vulpes_vulpes"
"22","Oryctolagus_cuniculus"
"23","Chlorocebus_sabaeus"
"24","Phascolarctos_cinereus"
"25","Nomascus_leucogenys"
"26","Bos_taurus"
"27","Myotis_lucifugus"
"28","Octodon_degus"
"29","Macaca_fascicularis"
"30","Loxodonta_africana"
"31","Pan_paniscus"
"32","Pan_troglodytes"
"33","Neovison_vison"
"34","Carlito_syrichta"
"35","Rattus_norvegicus"
"36","Bison_bison"
"37","Dasypus_novemcinctus"
"38","Ictidomys_tridecemlineatus"
"39","Mus_musculus"
"40","Capra_hircus"
"41","Cavia_porcellus"
"42","Cercocebus_atys"
"43","Canis_familiaris"
"44","Sarcophilus_harrisii"
"45","Mus_caroli"
"46","Ailuropoda_melanoleuca"
"47","Callithrix_jacchus"
"48","Equus_caballus"
"49","Ursus_maritimus"
"50","Castor_canadensis"
