"","x"
"1","Cercocebus_atys"
"2","Pan_troglodytes"
"3","Meriones_unguiculatus"
"4","Tursiops_truncatus"
"5","Colobus_angolensis_palliatus"
"6","Octodon_degus"
"7","Neovison_vison"
"8","Dasypus_novemcinctus"
"9","Capra_hircus"
"10","Sarcophilus_harrisii"
"11","Rattus_norvegicus"
"12","Pan_paniscus"
"13","Homo_sapiens"
"14","Ictidomys_tridecemlineatus"
"15","Phascolarctos_cinereus"
"16","Cebus_capucinus_imitator"
"17","Loxodonta_africana"
"18","Ursus_americanus"
"19","Carlito_syrichta"
"20","Pteropus_vampyrus"
"21","Chinchilla_lanigera"
"22","Dipodomys_ordii"
"23","Panthera_tigris_altaica"
"24","Ovis_aries"
"25","Ursus_maritimus"
"26","Oryctolagus_cuniculus"
"27","Nomascus_leucogenys"
"28","Mus_musculus"
"29","Bison_bison"
"30","Felis_catus"
"31","Castor_canadensis"
"32","Callithrix_jacchus"
"33","Panthera_pardus"
"34","Ailuropoda_melanoleuca"
"35","Macaca_mulatta"
"36","Monodelphis_domestica"
"37","Peromyscus_maniculatus_bairdii"
"38","Canis_familiaris"
"39","Mus_caroli"
"40","Equus_caballus"
"41","Microcebus_murinus"
"42","Cavia_porcellus"
"43","Chlorocebus_sabaeus"
"44","Vulpes_vulpes"
"45","Mesocricetus_auratus"
"46","Otolemur_garnettii"
"47","Gorilla_gorilla"
"48","Sus_scrofa"
"49","Macaca_nemestrina"
"50","Vombatus_ursinus"
