"","x"
"1","Peromyscus_maniculatus_bairdii"
"2","Felis_catus"
"3","Ovis_aries"
"4","Ursus_maritimus"
"5","Dipodomys_ordii"
"6","Callithrix_jacchus"
"7","Ailuropoda_melanoleuca"
"8","Otolemur_garnettii"
"9","Mustela_putorius_furo"
"10","Equus_caballus"
"11","Saimiri_boliviensis_boliviensis"
"12","Marmota"
"13","Equus_asinus_asinus"
"14","Bos_taurus"
"15","Pan_paniscus"
"16","Neovison_vison"
"17","Dasypus_novemcinctus"
"18","Pongo_abelii"
"19","Ursus_americanus"
"20","Chinchilla_lanigera"
"21","Sarcophilus_harrisii"
"22","Pan_troglodytes"
"23","Rattus_norvegicus"
"24","Capra_hircus"
"25","Macaca_mulatta"
"26","Colobus_angolensis_palliatus"
"27","Papio_anubis"
"28","Macaca_nemestrina"
"29","Microcebus_murinus"
"30","Nomascus_leucogenys"
"31","Oryctolagus_cuniculus"
"32","Mus_musculus"
"33","Meriones_unguiculatus"
"34","Vulpes_vulpes"
"35","Cercocebus_atys"
"36","Homo_sapiens"
"37","Tursiops_truncatus"
"38","Vombatus_ursinus"
"39","Pteropus_vampyrus"
"40","Panthera_tigris_altaica"
"41","Jaculus_jaculus"
"42","Gorilla_gorilla"
"43","Phascolarctos_cinereus"
"44","Panthera_pardus"
"45","Monodelphis_domestica"
"46","Carlito_syrichta"
"47","Cebus_capucinus_imitator"
"48","Bison_bison"
"49","Cavia_porcellus"
"50","Microtus_ochrogaster"
