"","x"
"1","Pongo_abelii"
"2","Callithrix_jacchus"
"3","Cercocebus_atys"
"4","Myotis_lucifugus"
"5","Pan_troglodytes"
"6","Ictidomys_tridecemlineatus"
"7","Dipodomys_ordii"
"8","Vulpes_vulpes"
"9","Mesocricetus_auratus"
"10","Castor_canadensis"
"11","Rattus_norvegicus"
"12","Pteropus_vampyrus"
"13","Macaca_mulatta"
"14","Vombatus_ursinus"
"15","Mustela_putorius_furo"
"16","Phascolarctos_cinereus"
"17","Felis_catus"
"18","Mus_caroli"
"19","Saimiri_boliviensis_boliviensis"
"20","Bison_bison"
"21","Sus_scrofa"
"22","Gorilla_gorilla"
"23","Peromyscus_maniculatus_bairdii"
"24","Sarcophilus_harrisii"
"25","Ursus_americanus"
"26","Monodelphis_domestica"
"27","Marmota"
"28","Carlito_syrichta"
"29","Microcebus_murinus"
"30","Mus_musculus"
"31","Papio_anubis"
"32","Chlorocebus_sabaeus"
"33","Microtus_ochrogaster"
"34","Octodon_degus"
"35","Cebus_capucinus_imitator"
"36","Tursiops_truncatus"
"37","Capra_hircus"
"38","Bos_taurus"
"39","Equus_caballus"
"40","Ursus_maritimus"
"41","Oryctolagus_cuniculus"
"42","Neovison_vison"
"43","Cavia_porcellus"
"44","Equus_asinus_asinus"
"45","Loxodonta_africana"
"46","Chinchilla_lanigera"
"47","Pan_paniscus"
"48","Otolemur_garnettii"
"49","Dasypus_novemcinctus"
"50","Macaca_nemestrina"
