"","x"
"1","Felis_catus"
"2","Microtus_ochrogaster"
"3","Marmota"
"4","Pan_paniscus"
"5","Octodon_degus"
"6","Pan_troglodytes"
"7","Callithrix_jacchus"
"8","Neovison_vison"
"9","Ictidomys_tridecemlineatus"
"10","Carlito_syrichta"
"11","Ursus_americanus"
"12","Bos_taurus"
"13","Loxodonta_africana"
"14","Sus_scrofa"
"15","Mus_musculus"
"16","Panthera_tigris_altaica"
"17","Ovis_aries"
"18","Otolemur_garnettii"
"19","Homo_sapiens"
"20","Sarcophilus_harrisii"
"21","Oryctolagus_cuniculus"
"22","Equus_asinus_asinus"
"23","Ursus_maritimus"
"24","Cebus_capucinus_imitator"
"25","Saimiri_boliviensis_boliviensis"
"26","Rattus_norvegicus"
"27","Phascolarctos_cinereus"
"28","Dasypus_novemcinctus"
"29","Colobus_angolensis_palliatus"
"30","Chlorocebus_sabaeus"
"31","Macaca_nemestrina"
"32","Nomascus_leucogenys"
"33","Canis_familiaris"
"34","Ailuropoda_melanoleuca"
"35","Mustela_putorius_furo"
"36","Castor_canadensis"
"37","Bison_bison"
"38","Meriones_unguiculatus"
"39","Gorilla_gorilla"
"40","Chinchilla_lanigera"
"41","Mesocricetus_auratus"
"42","Macaca_fascicularis"
"43","Jaculus_jaculus"
"44","Macaca_mulatta"
"45","Cercocebus_atys"
"46","Microcebus_murinus"
"47","Monodelphis_domestica"
"48","Myotis_lucifugus"
"49","Mus_caroli"
"50","Dipodomys_ordii"
