"","x"
"1","Ictidomys_tridecemlineatus"
"2","Carlito_syrichta"
"3","Castor_canadensis"
"4","Papio_anubis"
"5","Tursiops_truncatus"
"6","Phascolarctos_cinereus"
"7","Callithrix_jacchus"
"8","Pongo_abelii"
"9","Saimiri_boliviensis_boliviensis"
"10","Panthera_pardus"
"11","Panthera_tigris_altaica"
"12","Myotis_lucifugus"
"13","Neovison_vison"
"14","Vulpes_vulpes"
"15","Dasypus_novemcinctus"
"16","Otolemur_garnettii"
"17","Dipodomys_ordii"
"18","Pan_troglodytes"
"19","Rattus_norvegicus"
"20","Gorilla_gorilla"
"21","Marmota"
"22","Peromyscus_maniculatus_bairdii"
"23","Ailuropoda_melanoleuca"
"24","Chinchilla_lanigera"
"25","Mesocricetus_auratus"
"26","Microcebus_murinus"
"27","Colobus_angolensis_palliatus"
"28","Vombatus_ursinus"
"29","Chlorocebus_sabaeus"
"30","Homo_sapiens"
"31","Cebus_capucinus_imitator"
"32","Meriones_unguiculatus"
"33","Bison_bison"
"34","Octodon_degus"
"35","Nomascus_leucogenys"
"36","Canis_familiaris"
"37","Equus_caballus"
"38","Mustela_putorius_furo"
"39","Mus_caroli"
"40","Pan_paniscus"
"41","Mus_musculus"
"42","Cercocebus_atys"
"43","Jaculus_jaculus"
"44","Macaca_nemestrina"
"45","Monodelphis_domestica"
"46","Loxodonta_africana"
"47","Microtus_ochrogaster"
"48","Ursus_americanus"
"49","Macaca_fascicularis"
"50","Macaca_mulatta"
