"","x"
"1","Felis_catus"
"2","Mus_musculus"
"3","Oryctolagus_cuniculus"
"4","Tursiops_truncatus"
"5","Ovis_aries"
"6","Monodelphis_domestica"
"7","Bos_taurus"
"8","Equus_asinus_asinus"
"9","Pongo_abelii"
"10","Cercocebus_atys"
"11","Vombatus_ursinus"
"12","Macaca_nemestrina"
"13","Octodon_degus"
"14","Myotis_lucifugus"
"15","Vulpes_vulpes"
"16","Chlorocebus_sabaeus"
"17","Carlito_syrichta"
"18","Panthera_pardus"
"19","Ictidomys_tridecemlineatus"
"20","Dipodomys_ordii"
"21","Loxodonta_africana"
"22","Sarcophilus_harrisii"
"23","Colobus_angolensis_palliatus"
"24","Microtus_ochrogaster"
"25","Ailuropoda_melanoleuca"
"26","Equus_caballus"
"27","Saimiri_boliviensis_boliviensis"
"28","Capra_hircus"
"29","Ursus_maritimus"
"30","Pan_troglodytes"
"31","Gorilla_gorilla"
"32","Neovison_vison"
"33","Mus_caroli"
"34","Jaculus_jaculus"
"35","Papio_anubis"
"36","Marmota"
"37","Panthera_tigris_altaica"
"38","Macaca_fascicularis"
"39","Phascolarctos_cinereus"
"40","Callithrix_jacchus"
"41","Cebus_capucinus_imitator"
"42","Macaca_mulatta"
"43","Microcebus_murinus"
"44","Cavia_porcellus"
"45","Castor_canadensis"
"46","Peromyscus_maniculatus_bairdii"
"47","Dasypus_novemcinctus"
"48","Nomascus_leucogenys"
"49","Mustela_putorius_furo"
"50","Otolemur_garnettii"
