"","x"
"1","Mustela_putorius_furo"
"2","Panthera_pardus"
"3","Oryctolagus_cuniculus"
"4","Pongo_abelii"
"5","Macaca_nemestrina"
"6","Capra_hircus"
"7","Homo_sapiens"
"8","Microtus_ochrogaster"
"9","Ursus_maritimus"
"10","Microcebus_murinus"
"11","Carlito_syrichta"
"12","Ailuropoda_melanoleuca"
"13","Macaca_fascicularis"
"14","Vombatus_ursinus"
"15","Equus_caballus"
"16","Cercocebus_atys"
"17","Ovis_aries"
"18","Rattus_norvegicus"
"19","Pteropus_vampyrus"
"20","Sarcophilus_harrisii"
"21","Nomascus_leucogenys"
"22","Castor_canadensis"
"23","Tursiops_truncatus"
"24","Myotis_lucifugus"
"25","Marmota"
"26","Dasypus_novemcinctus"
"27","Sus_scrofa"
"28","Neovison_vison"
"29","Gorilla_gorilla"
"30","Monodelphis_domestica"
"31","Chinchilla_lanigera"
"32","Vulpes_vulpes"
"33","Panthera_tigris_altaica"
"34","Bison_bison"
"35","Loxodonta_africana"
"36","Pan_paniscus"
"37","Jaculus_jaculus"
"38","Octodon_degus"
"39","Ictidomys_tridecemlineatus"
"40","Equus_asinus_asinus"
"41","Callithrix_jacchus"
"42","Cebus_capucinus_imitator"
"43","Canis_familiaris"
"44","Mus_caroli"
"45","Mesocricetus_auratus"
"46","Otolemur_garnettii"
"47","Phascolarctos_cinereus"
"48","Meriones_unguiculatus"
"49","Pan_troglodytes"
"50","Cavia_porcellus"
