"","x"
"1","Homo_sapiens"
"2","Bison_bison"
"3","Microtus_ochrogaster"
"4","Macaca_nemestrina"
"5","Equus_asinus_asinus"
"6","Ailuropoda_melanoleuca"
"7","Marmota"
"8","Bos_taurus"
"9","Meriones_unguiculatus"
"10","Papio_anubis"
"11","Loxodonta_africana"
"12","Microcebus_murinus"
"13","Dipodomys_ordii"
"14","Colobus_angolensis_palliatus"
"15","Octodon_degus"
"16","Vombatus_ursinus"
"17","Mustela_putorius_furo"
"18","Equus_caballus"
"19","Carlito_syrichta"
"20","Monodelphis_domestica"
"21","Callithrix_jacchus"
"22","Sarcophilus_harrisii"
"23","Pan_paniscus"
"24","Rattus_norvegicus"
"25","Saimiri_boliviensis_boliviensis"
"26","Myotis_lucifugus"
"27","Pteropus_vampyrus"
"28","Capra_hircus"
"29","Mus_caroli"
"30","Dasypus_novemcinctus"
"31","Nomascus_leucogenys"
"32","Otolemur_garnettii"
"33","Chinchilla_lanigera"
"34","Panthera_tigris_altaica"
"35","Panthera_pardus"
"36","Canis_familiaris"
"37","Neovison_vison"
"38","Tursiops_truncatus"
"39","Cavia_porcellus"
"40","Phascolarctos_cinereus"
"41","Gorilla_gorilla"
"42","Peromyscus_maniculatus_bairdii"
"43","Macaca_mulatta"
"44","Ovis_aries"
"45","Ictidomys_tridecemlineatus"
"46","Ursus_americanus"
"47","Pongo_abelii"
"48","Cebus_capucinus_imitator"
"49","Oryctolagus_cuniculus"
"50","Pan_troglodytes"
