"","x"
"1","Colobus_angolensis_palliatus"
"2","Dipodomys_ordii"
"3","Dasypus_novemcinctus"
"4","Cercocebus_atys"
"5","Marmota"
"6","Oryctolagus_cuniculus"
"7","Rattus_norvegicus"
"8","Neovison_vison"
"9","Bison_bison"
"10","Microcebus_murinus"
"11","Microtus_ochrogaster"
"12","Carlito_syrichta"
"13","Homo_sapiens"
"14","Phascolarctos_cinereus"
"15","Ictidomys_tridecemlineatus"
"16","Mustela_putorius_furo"
"17","Macaca_mulatta"
"18","Pan_troglodytes"
"19","Papio_anubis"
"20","Gorilla_gorilla"
"21","Jaculus_jaculus"
"22","Nomascus_leucogenys"
"23","Octodon_degus"
"24","Mus_caroli"
"25","Callithrix_jacchus"
"26","Mesocricetus_auratus"
"27","Saimiri_boliviensis_boliviensis"
"28","Ovis_aries"
"29","Meriones_unguiculatus"
"30","Vulpes_vulpes"
"31","Monodelphis_domestica"
"32","Loxodonta_africana"
"33","Bos_taurus"
"34","Peromyscus_maniculatus_bairdii"
"35","Felis_catus"
"36","Ursus_maritimus"
"37","Pongo_abelii"
"38","Pan_paniscus"
"39","Chinchilla_lanigera"
"40","Macaca_fascicularis"
"41","Chlorocebus_sabaeus"
"42","Pteropus_vampyrus"
"43","Sus_scrofa"
"44","Canis_familiaris"
"45","Cavia_porcellus"
"46","Castor_canadensis"
"47","Sarcophilus_harrisii"
"48","Equus_asinus_asinus"
"49","Tursiops_truncatus"
"50","Mus_musculus"
