"","x"
"1","Ovis_aries"
"2","Felis_catus"
"3","Microcebus_murinus"
"4","Pan_troglodytes"
"5","Papio_anubis"
"6","Saimiri_boliviensis_boliviensis"
"7","Dipodomys_ordii"
"8","Macaca_fascicularis"
"9","Pteropus_vampyrus"
"10","Capra_hircus"
"11","Pan_paniscus"
"12","Carlito_syrichta"
"13","Castor_canadensis"
"14","Homo_sapiens"
"15","Pongo_abelii"
"16","Otolemur_garnettii"
"17","Microtus_ochrogaster"
"18","Chlorocebus_sabaeus"
"19","Meriones_unguiculatus"
"20","Ictidomys_tridecemlineatus"
"21","Tursiops_truncatus"
"22","Bos_taurus"
"23","Rattus_norvegicus"
"24","Mus_caroli"
"25","Macaca_nemestrina"
"26","Oryctolagus_cuniculus"
"27","Cebus_capucinus_imitator"
"28","Colobus_angolensis_palliatus"
"29","Jaculus_jaculus"
"30","Gorilla_gorilla"
"31","Mus_musculus"
"32","Monodelphis_domestica"
"33","Panthera_tigris_altaica"
"34","Equus_caballus"
"35","Equus_asinus_asinus"
"36","Macaca_mulatta"
"37","Bison_bison"
"38","Panthera_pardus"
"39","Neovison_vison"
"40","Ailuropoda_melanoleuca"
"41","Peromyscus_maniculatus_bairdii"
"42","Canis_familiaris"
"43","Vombatus_ursinus"
"44","Cercocebus_atys"
"45","Sus_scrofa"
"46","Octodon_degus"
"47","Vulpes_vulpes"
"48","Mesocricetus_auratus"
"49","Ursus_maritimus"
"50","Chinchilla_lanigera"
