"","x"
"1","Dasypus_novemcinctus"
"2","Chlorocebus_sabaeus"
"3","Equus_caballus"
"4","Dipodomys_ordii"
"5","Panthera_pardus"
"6","Ailuropoda_melanoleuca"
"7","Phascolarctos_cinereus"
"8","Ursus_americanus"
"9","Capra_hircus"
"10","Monodelphis_domestica"
"11","Marmota"
"12","Mus_caroli"
"13","Ursus_maritimus"
"14","Nomascus_leucogenys"
"15","Mustela_putorius_furo"
"16","Canis_familiaris"
"17","Ovis_aries"
"18","Sus_scrofa"
"19","Macaca_nemestrina"
"20","Pan_troglodytes"
"21","Otolemur_garnettii"
"22","Pan_paniscus"
"23","Meriones_unguiculatus"
"24","Oryctolagus_cuniculus"
"25","Mesocricetus_auratus"
"26","Homo_sapiens"
"27","Tursiops_truncatus"
"28","Cebus_capucinus_imitator"
"29","Cavia_porcellus"
"30","Vombatus_ursinus"
"31","Panthera_tigris_altaica"
"32","Gorilla_gorilla"
"33","Pteropus_vampyrus"
"34","Macaca_fascicularis"
"35","Peromyscus_maniculatus_bairdii"
"36","Callithrix_jacchus"
"37","Chinchilla_lanigera"
"38","Neovison_vison"
"39","Ictidomys_tridecemlineatus"
"40","Vulpes_vulpes"
"41","Castor_canadensis"
"42","Bison_bison"
"43","Mus_musculus"
"44","Bos_taurus"
"45","Felis_catus"
"46","Loxodonta_africana"
"47","Sarcophilus_harrisii"
"48","Papio_anubis"
"49","Pongo_abelii"
"50","Microcebus_murinus"
