"","x"
"1","Macaca_fascicularis"
"2","Castor_canadensis"
"3","Equus_caballus"
"4","Vulpes_vulpes"
"5","Saimiri_boliviensis_boliviensis"
"6","Cavia_porcellus"
"7","Mesocricetus_auratus"
"8","Marmota"
"9","Meriones_unguiculatus"
"10","Felis_catus"
"11","Macaca_nemestrina"
"12","Monodelphis_domestica"
"13","Ursus_americanus"
"14","Panthera_pardus"
"15","Mus_caroli"
"16","Pongo_abelii"
"17","Canis_familiaris"
"18","Octodon_degus"
"19","Cebus_capucinus_imitator"
"20","Myotis_lucifugus"
"21","Microtus_ochrogaster"
"22","Neovison_vison"
"23","Rattus_norvegicus"
"24","Ictidomys_tridecemlineatus"
"25","Loxodonta_africana"
"26","Pan_troglodytes"
"27","Macaca_mulatta"
"28","Oryctolagus_cuniculus"
"29","Bos_taurus"
"30","Callithrix_jacchus"
"31","Ailuropoda_melanoleuca"
"32","Chinchilla_lanigera"
"33","Ursus_maritimus"
"34","Otolemur_garnettii"
"35","Tursiops_truncatus"
"36","Peromyscus_maniculatus_bairdii"
"37","Bison_bison"
"38","Homo_sapiens"
"39","Capra_hircus"
"40","Sarcophilus_harrisii"
"41","Microcebus_murinus"
"42","Equus_asinus_asinus"
"43","Vombatus_ursinus"
"44","Mus_musculus"
"45","Pan_paniscus"
"46","Cercocebus_atys"
"47","Jaculus_jaculus"
"48","Phascolarctos_cinereus"
"49","Gorilla_gorilla"
"50","Chlorocebus_sabaeus"
