"","x"
"1","Cercocebus_atys"
"2","Dipodomys_ordii"
"3","Mus_musculus"
"4","Colobus_angolensis_palliatus"
"5","Vombatus_ursinus"
"6","Pan_paniscus"
"7","Monodelphis_domestica"
"8","Sarcophilus_harrisii"
"9","Octodon_degus"
"10","Sus_scrofa"
"11","Mesocricetus_auratus"
"12","Castor_canadensis"
"13","Papio_anubis"
"14","Ursus_americanus"
"15","Chinchilla_lanigera"
"16","Tursiops_truncatus"
"17","Macaca_mulatta"
"18","Pongo_abelii"
"19","Cavia_porcellus"
"20","Homo_sapiens"
"21","Microtus_ochrogaster"
"22","Bos_taurus"
"23","Ictidomys_tridecemlineatus"
"24","Dasypus_novemcinctus"
"25","Mustela_putorius_furo"
"26","Carlito_syrichta"
"27","Macaca_fascicularis"
"28","Pan_troglodytes"
"29","Microcebus_murinus"
"30","Ursus_maritimus"
"31","Jaculus_jaculus"
"32","Panthera_pardus"
"33","Loxodonta_africana"
"34","Ailuropoda_melanoleuca"
"35","Equus_caballus"
"36","Cebus_capucinus_imitator"
"37","Chlorocebus_sabaeus"
"38","Mus_caroli"
"39","Felis_catus"
"40","Callithrix_jacchus"
"41","Phascolarctos_cinereus"
"42","Rattus_norvegicus"
"43","Bison_bison"
"44","Ovis_aries"
"45","Myotis_lucifugus"
"46","Otolemur_garnettii"
"47","Saimiri_boliviensis_boliviensis"
"48","Nomascus_leucogenys"
"49","Canis_familiaris"
"50","Neovison_vison"
