"","x"
"1","Cavia_porcellus"
"2","Cercocebus_atys"
"3","Saimiri_boliviensis_boliviensis"
"4","Mesocricetus_auratus"
"5","Nomascus_leucogenys"
"6","Carlito_syrichta"
"7","Mus_musculus"
"8","Rattus_norvegicus"
"9","Oryctolagus_cuniculus"
"10","Panthera_tigris_altaica"
"11","Mus_caroli"
"12","Jaculus_jaculus"
"13","Castor_canadensis"
"14","Tursiops_truncatus"
"15","Peromyscus_maniculatus_bairdii"
"16","Loxodonta_africana"
"17","Capra_hircus"
"18","Neovison_vison"
"19","Bison_bison"
"20","Equus_asinus_asinus"
"21","Sarcophilus_harrisii"
"22","Myotis_lucifugus"
"23","Papio_anubis"
"24","Equus_caballus"
"25","Microtus_ochrogaster"
"26","Gorilla_gorilla"
"27","Callithrix_jacchus"
"28","Mustela_putorius_furo"
"29","Macaca_fascicularis"
"30","Octodon_degus"
"31","Pongo_abelii"
"32","Vombatus_ursinus"
"33","Vulpes_vulpes"
"34","Meriones_unguiculatus"
"35","Chinchilla_lanigera"
"36","Ursus_americanus"
"37","Ovis_aries"
"38","Pan_troglodytes"
"39","Phascolarctos_cinereus"
"40","Ictidomys_tridecemlineatus"
"41","Monodelphis_domestica"
"42","Bos_taurus"
"43","Sus_scrofa"
"44","Otolemur_garnettii"
"45","Colobus_angolensis_palliatus"
"46","Ursus_maritimus"
"47","Microcebus_murinus"
"48","Macaca_mulatta"
"49","Felis_catus"
"50","Ailuropoda_melanoleuca"
